,team,wins,losses,goals,ontarget_scoring_att,season,Shots pg,Possession,Pass
1,Arsenal,23,9,83,233,2009-2010,17.4,57,80.8
2,Aston Villa,17,8,52,158,2009-2010,13.1,48.5,71.8
3,Birmingham,13,14,38,155,2009-2010,11.9,47.7,67.2
4,Blackburn,13,14,41,161,2009-2010,12.9,45.9,63.8
5,Bolton,10,19,42,163,2009-2010,14.7,45.1,63.7
6,Burnley,8,24,42,153,2009-2010,12.1,49.2,68.7
7,Chelsea,27,6,103,288,2009-2010,21.9,56.9,82.5
8,Everton,16,9,60,194,2009-2010,15.5,51.2,75
9,Fulham,12,16,39,144,2009-2010,12.2,49.9,73.8
10,Hull,6,20,34,120,2009-2010,10.2,45.4,66.7
11,Liverpool,18,11,61,189,2009-2010,16.9,55.8,78.5
12,Manchester City,18,7,73,195,2009-2010,13.8,52.2,76
13,Manchester United,27,7,86,221,2009-2010,18.3,55.6,79.9
14,Portsmouth,7,24,34,151,2009-2010,14,48.4,73.6
15,Stoke,11,13,34,113,2009-2010,10.6,43.4,62.2
16,Sunderland,11,16,48,159,2009-2010,11.7,47.3,65.9
17,Tottenham,21,10,67,226,2009-2010,17.9,52.2,76.1
18,West Ham,8,19,47,191,2009-2010,14.4,49.4,74.9
19,Wigan,9,20,37,174,2009-2010,14.6,51.4,74.3
20,Wolverhampton Wanderers,9,18,32,119,2009-2010,11.5,47.6,67.3
21,Arsenal,19,8,72,238,2010-2011,17.2,57.7,83.4
22,Aston Villa,12,14,48,165,2010-2011,13.3,49.1,73.4
23,Birmingham,8,15,37,121,2010-2011,10.6,47.9,70.6
24,Blackburn,11,17,46,135,2010-2011,11.9,44,64.2
25,Blackpool,10,19,55,161,2010-2011,14,49.9,75.4
26,Bolton,12,16,52,173,2010-2011,15,47.4,66.6
27,Chelsea,21,9,69,244,2010-2011,19.6,56,83
28,Everton,13,10,51,181,2010-2011,15.3,49.9,75.5
29,Fulham,11,11,49,172,2010-2011,14.4,50.2,75.5
30,Liverpool,17,14,59,205,2010-2011,15.3,51.5,76.6
31,Manchester City,21,9,60,177,2010-2011,14.4,52.5,81.5
32,Manchester United,23,4,78,212,2010-2011,16.3,54.6,80.8
33,Newcastle United,11,14,56,168,2010-2011,13.3,49.8,75.4
34,Stoke,13,18,46,143,2010-2011,12.7,42,63.4
35,Sunderland,12,15,45,154,2010-2011,14,48.8,71
36,Tottenham,16,8,55,191,2010-2011,17.3,53.4,79.6
37,West Bromwich Albion,12,15,56,184,2010-2011,15.7,48.7,77.2
38,West Ham,7,19,43,174,2010-2011,15.1,46.4,74.9
39,Wigan,9,14,40,170,2010-2011,13.4,50.6,74.8
40,Wolverhampton Wanderers,11,20,46,139,2010-2011,12.1,49.6,71.6
41,Arsenal,21,10,74,236,2011-2012,16.8,57.7,84.1
42,Aston Villa,7,14,37,138,2011-2012,11.5,45.7,72.2
43,Blackburn,8,23,48,143,2011-2012,11.9,43.8,71.2
44,Bolton,10,22,46,163,2011-2012,13,47.5,71.1
45,Chelsea,18,10,65,224,2011-2012,17.7,54.2,84.5
46,Everton,15,12,50,164,2011-2012,13.7,48.4,76.7
47,Fulham,14,14,48,195,2011-2012,14.2,49.3,81.4
48,Liverpool,14,14,47,207,2011-2012,17.6,53.6,80.7
49,Manchester City,28,5,93,250,2011-2012,19.4,56.6,85.4
50,Manchester United,28,5,89,243,2011-2012,17,55.9,84.8
51,Newcastle United,19,11,56,154,2011-2012,12.9,47.9,76
52,Norwich,12,15,52,164,2011-2012,13.5,47.4,75.4
53,Queens Park Rangers,10,21,43,150,2011-2012,14.2,46.6,73.8
54,Stoke,11,15,36,94,2011-2012,9.9,43.3,69.1
55,Sunderland,11,15,45,141,2011-2012,12.1,45.6,73.6
56,Swansea,12,15,44,145,2011-2012,12.4,56.2,85.1
57,Tottenham,20,9,66,230,2011-2012,18.4,55.5,84.2
58,West Bromwich Albion,13,17,45,167,2011-2012,14.3,46.7,76.2
59,Wigan,11,17,42,162,2011-2012,13.7,49.9,79.9
60,Wolverhampton Wanderers,5,23,40,152,2011-2012,12.4,48.2,75.6
61,Arsenal,21,7,72,205,2012-2013,15.7,56.2,85.2
62,Aston Villa,10,17,47,141,2012-2013,11.5,47.1,77.2
63,Chelsea,22,7,75,212,2012-2013,16.5,52.9,82.7
64,Everton,16,7,55,207,2012-2013,16.7,51.9,79
65,Fulham,11,17,50,160,2012-2013,12.1,49.6,81.4
66,Liverpool,16,9,71,232,2012-2013,19.4,55.1,83.9
67,Manchester City,23,6,66,231,2012-2013,17.3,56,84.6
68,Manchester United,28,5,86,213,2012-2013,14.7,54.9,85.2
69,Newcastle United,11,19,45,174,2012-2013,14,49.3,79.1
70,Norwich,10,14,41,134,2012-2013,10.9,44.4,73
71,Queens Park Rangers,4,21,30,146,2012-2013,13.2,46.9,76.2
72,Reading,6,22,43,128,2012-2013,10.3,42.8,69.2
73,Southampton,9,15,49,167,2012-2013,13.6,52.2,77.3
74,Stoke,9,14,34,114,2012-2013,10.3,44.5,69.9
75,Sunderland,9,17,41,139,2012-2013,11,44.7,75.2
76,Swansea,11,14,47,167,2012-2013,13.3,54.4,84.4
77,Tottenham,21,8,66,241,2012-2013,17.9,52.8,82.5
78,West Bromwich Albion,14,17,53,170,2012-2013,13.3,46.3,77.7
79,West Ham,12,16,45,158,2012-2013,13,45.1,73.6
80,Wigan,9,20,47,170,2012-2013,13.2,52.9,82.1
81,Arsenal,24,7,68,213,2013-2014,13.8,55.7,85.5
82,Aston Villa,10,20,39,135,2013-2014,11.3,44.8,73.2
83,Cardiff,7,22,32,124,2013-2014,11,45.9,75.4
84,Chelsea,25,6,71,229,2013-2014,18.2,53.9,82.7
85,Crystal Palace,13,19,33,143,2013-2014,10.9,41.1,70.2
86,Everton,21,8,61,196,2013-2014,14.8,54.4,83.2
87,Fulham,9,24,40,149,2013-2014,11.3,45.7,78
88,Hull,10,21,38,132,2013-2014,11.3,45.9,76.1
89,Liverpool,26,6,101,258,2013-2014,17.1,54.7,84.1
90,Manchester City,27,6,102,238,2013-2014,17.7,55.7,85.5
91,Manchester United,19,12,64,183,2013-2014,13.8,54.3,84
92,Newcastle United,15,19,43,182,2013-2014,15.2,49.8,79.4
93,Norwich,8,21,28,148,2013-2014,12.3,46.4,75.9
94,Southampton,15,12,54,179,2013-2014,14.1,56.5,81.1
95,Stoke,13,14,45,137,2013-2014,11.3,48.1,77.3
96,Sunderland,10,20,41,138,2013-2014,12.9,46.7,77.5
97,Swansea,11,18,54,161,2013-2014,13,55.6,84.8
98,Tottenham,21,11,55,192,2013-2014,15.4,53.4,81.1
99,West Bromwich Albion,7,16,43,146,2013-2014,12.8,47.2,77.1
100,West Ham,11,20,40,122,2013-2014,11.1,44.2,73.1
101,Arsenal,22,7,71,227,2014-2015,16.1,55.7,83.8
102,Aston Villa,10,20,31,125,2014-2015,11,49.1,79
103,Burnley,7,19,28,125,2014-2015,11.3,44,70.3
104,Chelsea,26,3,73,210,2014-2015,14.8,54.1,83.2
105,Crystal Palace,13,16,47,139,2014-2015,11.6,42.7,69.4
106,Everton,12,15,48,166,2014-2015,12.7,53.6,82.5
107,Hull,8,19,33,131,2014-2015,11.3,45.6,76.5
108,Leicester,11,19,46,137,2014-2015,12,44.8,71.1
109,Liverpool,18,12,52,192,2014-2015,15.5,54.3,82.8
110,Manchester City,24,7,83,229,2014-2015,17.6,57,84.6
111,Manchester United,20,8,62,180,2014-2015,13.5,58.8,85.1
112,Newcastle United,10,19,40,143,2014-2015,12.3,48.1,76.9
113,Queens Park Rangers,8,24,42,150,2014-2015,14.1,46.3,70.8
114,Southampton,18,14,54,169,2014-2015,13.4,51.9,79.7
115,Stoke,15,14,48,136,2014-2015,13.2,50.2,77.5
116,Sunderland,7,14,31,130,2014-2015,10.7,46.2,76.1
117,Swansea,16,14,46,147,2014-2015,11.2,50.7,82.1
118,Tottenham,19,12,58,171,2014-2015,13.9,55.2,81.2
119,West Bromwich Albion,11,16,38,132,2014-2015,10.8,44.9,75
120,West Ham,12,15,44,152,2014-2015,12.9,46.7,74.6
121,Arsenal,20,7,65,211,2015-2016,15.1,56.9,84.2
122,Aston Villa,3,27,27,110,2015-2016,10,47.3,77.8
123,Bournemouth,11,18,45,143,2015-2016,12.2,51,79.8
124,Chelsea,12,12,59,173,2015-2016,13.8,54.4,82.5
125,Crystal Palace,11,18,39,153,2015-2016,12.3,46.8,74.4
126,Everton,11,13,59,175,2015-2016,12.9,51.5,81.4
127,Leicester,23,3,68,179,2015-2016,13.7,44.7,70.5
128,Liverpool,16,10,63,202,2015-2016,16.6,55,80.2
129,Manchester City,19,10,71,210,2015-2016,16.2,55.2,83.1
130,Manchester United,19,10,49,144,2015-2016,11.3,55.8,82.3
131,Newcastle United,9,19,44,151,2015-2016,10.4,47.4,76.6
132,Norwich,9,22,39,129,2015-2016,11,46.5,73.6
133,Southampton,18,11,59,166,2015-2016,13.7,49.3,77.7
134,Stoke,14,15,41,128,2015-2016,11,50,79.1
135,Sunderland,9,17,48,141,2015-2016,11.6,43.3,71
136,Swansea,12,15,42,136,2015-2016,11.6,52,80.9
137,Tottenham,19,6,69,252,2015-2016,17.3,55.3,80.5
138,Watford,12,17,40,140,2015-2016,11.7,46.3,72.6
139,West Bromwich Albion,10,15,34,107,2015-2016,10.2,42.3,70
140,West Ham,16,8,65,185,2015-2016,14.7,49.1,77.6
141,Arsenal,23,9,77,201,2016-2017,14.9,56.5,83.8
142,Bournemouth,12,16,55,160,2016-2017,11.9,51.3,81.3
143,Burnley,11,20,39,120,2016-2017,10.3,42.7,67.8
144,Chelsea,30,5,85,204,2016-2017,15.3,54,83.9
145,Crystal Palace,12,21,50,138,2016-2017,11.6,46.7,73.4
146,Everton,17,11,62,191,2016-2017,13.2,51.5,79
147,Hull,9,22,37,126,2016-2017,10.4,46.7,77.4
148,Leicester,12,18,48,145,2016-2017,11.4,43.7,70.1
149,Liverpool,22,6,78,236,2016-2017,16.8,58.3,82.4
150,Manchester City,23,6,80,216,2016-2017,16.7,60.9,85.5
151,Manchester United,18,5,54,210,2016-2017,15.6,55,84.2
152,Middlesbrough,5,20,27,100,2016-2017,9.2,47.9,77.3
153,Southampton,12,16,41,179,2016-2017,14.5,53.1,80.5
154,Stoke,11,16,41,137,2016-2017,11.2,47.2,75.3
155,Sunderland,6,26,29,119,2016-2017,10.2,42.8,72.6
156,Swansea,12,21,45,145,2016-2017,10.7,48.3,78.9
157,Tottenham,26,4,86,257,2016-2017,17.6,57.4,82.5
158,Watford,11,20,40,143,2016-2017,11.1,47,74
159,West Bromwich Albion,12,17,43,123,2016-2017,10.5,40.7,70.4
160,West Ham,12,17,47,138,2016-2017,13.1,48.4,78.2
